"id","phase","step","task","owner_hint","status"
"1","0: FONDASI & PERSIAPAN","0.1 â€” Finalisasi Topik & Judul","â³ **BUTUH AKSI MANUSIA**: Diskusikan dengan dosen pembimbing, pilih 1 judul final","manual","pending"
"2","0: FONDASI & PERSIAPAN","0.2 â€” Persiapan Administratif","â³ **BUTUH AKSI MANUSIA**: Daftarkan judul ke program studi / kaprodi","manual","pending"
"3","0: FONDASI & PERSIAPAN","0.2 â€” Persiapan Administratif","â³ **BUTUH AKSI MANUSIA**: Dapatkan persetujuan pembimbing","manual","pending"
"4","0: FONDASI & PERSIAPAN","0.2 â€” Persiapan Administratif","â³ **BUTUH AKSI MANUSIA**: Siapkan proposal awal (format sesuai panduan kampus)","manual","pending"
"5","2: METODOLOGI PENELITIAN","2.4 â€” Metode Pengumpulan Data","**Laporan keuangan**: Download dari IDX (idx.co.id â†’ Listed Companies â†’ Financial Statements)","manual","pending"
"6","2: METODOLOGI PENELITIAN","2.4 â€” Metode Pengumpulan Data","**Annual report**: Download dari IDX atau website perusahaan","manual","pending"
"7","2: METODOLOGI PENELITIAN","2.4 â€” Metode Pengumpulan Data","**Data pendukung**: Website perusahaan untuk informasi AI/digital transformation","mixed","pending"
"8","2: METODOLOGI PENELITIAN","2.5 â€” Konstruksi AI Disclosure Index (Variabel Moderasi Kunci)","**Langkah 2**: Download annual report semua sampel (2019â€“2025)","manual","pending"
"9","2: METODOLOGI PENELITIAN","2.5 â€” Konstruksi AI Disclosure Index (Variabel Moderasi Kunci)","**Langkah 3**: Lakukan content analysis:","mixed","pending"
"10","2: METODOLOGI PENELITIAN","2.5 â€” Konstruksi AI Disclosure Index (Variabel Moderasi Kunci)","**Langkah 5**: Validasi:","mixed","pending"
"11","3: PENGUMPULAN & PENGOLAHAN DATA","3.1 â€” Identifikasi Populasi & Sampel","Filter berdasarkan kriteria inklusi â†’ daftar sampel final (â³ menunggu verifikasi data availability)","mixed","pending"
"12","3: PENGUMPULAN & PENGOLAHAN DATA","3.2 â€” Download Data Laporan Keuangan","Untuk setiap perusahaan sampel, download laporan keuangan tahunan 2019â€“2025","manual","pending"
"13","3: PENGUMPULAN & PENGOLAHAN DATA","3.2 â€” Download Data Laporan Keuangan","Sumber: IDX (idx.co.id) â†’ Listed Companies â†’ Financial Statements & Annual Report","mixed","pending"
"14","3: PENGUMPULAN & PENGOLAHAN DATA","3.2 â€” Download Data Laporan Keuangan","Simpan di `data/raw/` dengan penamaan: `{TICKER}_{YEAR}_FS.pdf`","mixed","pending"
"15","3: PENGUMPULAN & PENGOLAHAN DATA","3.2 â€” Download Data Laporan Keuangan","Ekstrak data berikut dari setiap laporan keuangan:","mixed","pending"
"16","3: PENGUMPULAN & PENGOLAHAN DATA","3.4 â€” Download & Analisis Annual Report (untuk AI Disclosure Index)","Download annual report (bukan laporan keuangan) untuk setiap sampel 2019â€“2025","manual","pending"
"17","3: PENGUMPULAN & PENGOLAHAN DATA","3.4 â€” Download & Analisis Annual Report (untuk AI Disclosure Index)","Simpan di `data/annual_reports/` dengan penamaan: `{TICKER}_{YEAR}_AR.pdf`","mixed","pending"
"18","3: PENGUMPULAN & PENGOLAHAN DATA","3.4 â€” Download & Analisis Annual Report (untuk AI Disclosure Index)","Lakukan content analysis sesuai Step 2.5","mixed","pending"
"19","3: PENGUMPULAN & PENGOLAHAN DATA","3.4 â€” Download & Analisis Annual Report (untuk AI Disclosure Index)","Hasilkan skor AI Disclosure Index per perusahaan per tahun","mixed","pending"
"20","3: PENGUMPULAN & PENGOLAHAN DATA","3.4 â€” Download & Analisis Annual Report (untuk AI Disclosure Index)","Simpan hasil di spreadsheet master","mixed","pending"
"21","3: PENGUMPULAN & PENGOLAHAN DATA","3.6 â€” Cleaning & Validasi Data","Cross-check 10% sampel secara manual dengan laporan keuangan asli","manual","pending"
"22","4: ANALISIS DATA & PENGUJIAN HIPOTESIS","4.3 â€” Pemilihan Model Panel","Pilih model terbaik berdasarkan hasil uji","mixed","pending"
"23","4: ANALISIS DATA & PENGUJIAN HIPOTESIS","4.3 â€” Pemilihan Model Panel","Jika FE terpilih: gunakan entity-fixed effects (firm dummies)","mixed","pending"
"24","4: ANALISIS DATA & PENGUJIAN HIPOTESIS","4.3 â€” Pemilihan Model Panel","Pertimbangkan time-fixed effects juga (year dummies)","mixed","pending"
"25","4: ANALISIS DATA & PENGUJIAN HIPOTESIS","4.4 â€” Estimasi Model Utama (9 Regresi)","Catat: koefisien, t-stat/z-stat, p-value, RÂ², adjusted RÂ², F-stat","mixed","pending"
"26","4: ANALISIS DATA & PENGUJIAN HIPOTESIS","4.4 â€” Estimasi Model Utama (9 Regresi)","Interpretasi: rasio mana yang signifikan untuk masing-masing dependen?","mixed","pending"
"27","4: ANALISIS DATA & PENGUJIAN HIPOTESIS","4.4 â€” Estimasi Model Utama (9 Regresi)","Fokus interpretasi: koefisien interaksi (XÃ—AID) â€” apakah signifikan dan arahnya?","mixed","pending"
"28","4: ANALISIS DATA & PENGUJIAN HIPOTESIS","4.4 â€” Estimasi Model Utama (9 Regresi)","Catatan: mungkin perlu memilih 2â€“3 rasio utama saja untuk interaksi (hindari overfitting)","mixed","pending"
"29","4: ANALISIS DATA & PENGUJIAN HIPOTESIS","4.4 â€” Estimasi Model Utama (9 Regresi)","Fokus interpretasi: koefisien interaksi (XÃ—DGENAI) â€” apakah relevansi rasio berubah post-2023?","mixed","pending"
"30","4: ANALISIS DATA & PENGUJIAN HIPOTESIS","4.5 â€” Robustness Checks","**System GMM**: Estimasi ulang model baseline dengan Arellano-Bond GMM","mixed","pending"
"31","5: PENULISAN TESIS","5.4 â€” BAB IV: Hasil & Pembahasan","Hasil pemilihan model panel","mixed","pending"
"32","5: PENULISAN TESIS","5.4 â€” BAB IV: Hasil & Pembahasan","Hasil estimasi model (9 regresi utama):","mixed","pending"
"33","6: FINALISASI & UJIAN","6.2 â€” Konsultasi Pembimbing","Submit draft ke pembimbing 1","manual","pending"
"34","6: FINALISASI & UJIAN","6.2 â€” Konsultasi Pembimbing","Revisi berdasarkan masukan","manual","pending"
"35","6: FINALISASI & UJIAN","6.2 â€” Konsultasi Pembimbing","Submit draft ke pembimbing 2 (jika ada)","manual","pending"
"36","6: FINALISASI & UJIAN","6.2 â€” Konsultasi Pembimbing","Revisi final","manual","pending"
"37","6: FINALISASI & UJIAN","6.3 â€” Persiapan Ujian","Latihan presentasi (15â€“20 menit)","manual","pending"
"38","6: FINALISASI & UJIAN","6.4 â€” Pasca-Ujian","Revisi berdasarkan masukan penguji","manual","pending"
"39","6: FINALISASI & UJIAN","6.4 â€” Pasca-Ujian","Finalisasi tesis","mixed","pending"
"40","6: FINALISASI & UJIAN","6.4 â€” Pasca-Ujian","Upload ke repositori kampus","manual","pending"
"41","6: FINALISASI & UJIAN","6.4 â€” Pasca-Ujian","(Opsional) Publikasi ke jurnal nasional terakreditasi","mixed","pending"
"42","7: TOOLS & DATA PIPELINE (Opsional â€” Pembanding AS)","7.2 â€” Analisis Komparatif","Bandingkan signifikansi rasio fundamental di kedua pasar (â³ menunggu dataset final Indonesia; data AS sudah lengkap termasuk harga + PBV)","mixed","pending"
